NAME,ID,TIME,X,Y
classic,0,0,-50.530025,22.447491
classic,1,0,-28.751461,-1.844547
classic,2,0,-27.787939,-4.334006
classic,3,0,3.024996,-0.498014
classic,4,0,36.614681,-18.158298
classic,5,0,13.724322,22.109385
classic,6,0,-50.257660,21.218616
classic,7,0,13.638973,22.925510
classic,8,0,3.138135,0.020280
classic,9,0,25.570471,-21.528566
classic,10,0,12.919927,23.085121
classic,11,0,-4.805815,-13.200694
classic,12,0,2.785820,-0.376213
classic,13,0,-7.840538,-34.486126
classic,14,0,-0.398284,-2.257799
classic,15,0,5.622099,-40.992989
classic,16,0,6.609674,-44.717407
classic,17,0,25.211361,-25.170717
classic,18,0,-50.746071,25.446445
classic,19,0,14.149016,22.137886
classic,20,0,24.282068,-30.157297
classic,21,0,2.923028,-1.480495
classic,22,0,25.301447,-23.913866
classic,23,0,16.437449,11.247392
classic,24,0,-27.737915,-5.874429
classic,25,0,-1.945153,-29.078894
classic,26,0,-5.015039,-13.383869
classic,27,0,7.568382,1.823822
classic,28,0,2.910202,-1.738343
classic,29,0,-4.270501,-15.363671
classic,30,0,16.962111,11.352295
classic,31,0,-49.379013,24.142323
classic,32,0,6.698761,-43.717972
classic,33,0,2.881842,-1.275902
classic,34,0,-2.491482,-29.927448
classic,35,0,7.929934,-43.534443
classic,36,0,-47.482132,22.678259
classic,37,0,13.844475,22.550697
classic,38,0,17.298277,10.230949
classic,39,0,5.080151,1.240602
classic,40,0,37.781239,-17.238106
classic,41,0,-50.164257,24.665934
classic,42,0,25.595163,-21.944368
classic,43,0,-47.485668,22.673500
classic,44,0,2.729552,-0.058594
classic,45,0,17.076103,11.685521
classic,46,0,7.592257,1.828781
classic,47,0,0.088002,-26.896605
classic,48,0,-8.246621,-34.140663
classic,49,0,-4.346499,-15.336986
classic,50,0,7.248621,-43.526188
classic,51,0,0.116012,-25.881580
classic,52,0,0.077474,-25.719919
classic,53,0,-27.683540,-5.113322
classic,54,0,-51.549469,23.378836
classic,55,0,-0.104834,-1.791534
classic,56,0,5.615468,1.381701
classic,57,0,38.441082,-16.612337
classic,58,0,-2.341758,-29.018803
classic,59,0,-2.068465,-28.965433
classic,60,0,12.858172,20.135576
classic,61,0,23.912413,-29.928734
classic,62,0,-49.946522,23.262400
classic,63,0,-49.508724,21.654871
classic,64,0,-51.665977,23.736704
classic,65,0,2.801603,-0.208495
classic,66,0,-4.522572,-13.343191
classic,67,0,5.709095,1.421469
classic,68,0,-51.914505,20.114838
classic,69,0,41.143688,-21.493616
classic,70,0,-5.447696,-15.044489
classic,71,0,39.261009,-12.043451
classic,72,0,38.662228,-11.944097
classic,73,0,16.931313,12.175521
classic,74,0,-1.340736,-29.127077
classic,75,0,-4.502485,-12.100878
classic,76,0,17.049610,11.624713
classic,77,0,14.507830,8.350637
classic,78,0,5.321975,-43.924717
classic,79,0,8.878748,-44.514511
classic,80,0,-27.808420,-2.957601
classic,81,0,-1.487332,-30.523638
classic,82,0,-3.722515,42.836487
classic,83,0,25.029425,-25.646200
classic,84,0,7.607733,-0.757485
classic,85,0,-50.946842,22.275879
classic,86,0,7.948645,-44.591755
classic,87,0,7.286434,-43.507126
classic,88,0,39.423923,-4.917893
classic,89,0,7.917545,-0.141292
classic,90,0,0.070795,-26.802816
classic,91,0,7.958495,-44.238590
classic,92,0,-47.438705,22.696795
classic,93,0,15.709143,18.450632
classic,94,0,11.734991,11.126575
classic,95,0,-47.742378,19.790545
classic,96,0,-2.356865,-21.715843
classic,97,0,24.307323,-30.054369
classic,98,0,4.857724,-1.632385
classic,99,0,-50.526211,22.437647
classic,100,0,4.307287,0.780655
classic,101,0,7.608810,-0.834939
classic,102,0,7.180682,-43.545086
classic,103,0,38.971935,-11.173205
classic,104,0,-29.115442,-7.992791
classic,105,0,-3.516170,-30.964331
classic,106,0,-50.194748,26.017853
classic,107,0,-48.554264,25.887650
classic,108,0,-2.941403,-26.496037
classic,109,0,13.992222,22.174385
classic,110,0,5.454798,-1.570507
classic,111,0,24.370380,-30.202616
classic,112,0,8.183517,-38.953926
classic,113,0,-3.437366,-30.714180
classic,114,0,0.063059,-25.280052
classic,115,0,-9.181602,-31.888075
classic,116,0,-27.188734,-2.448613
classic,117,0,6.617537,-46.361992
classic,118,0,16.149553,10.752335
classic,119,0,8.800971,-43.834827
classic,120,0,21.442184,16.541801
classic,121,0,-50.937103,22.273603
classic,122,0,-51.938126,22.731918
classic,123,0,6.464584,-42.878304
classic,124,0,-7.717959,-34.455017
classic,125,0,-27.430836,-1.692680
classic,126,0,42.726421,-3.949916
classic,127,0,-1.956246,-22.149012
classic,128,0,-5.318950,18.862309
classic,129,0,-4.195348,45.194431
classic,130,0,43.069641,-1.071038
classic,131,0,4.603370,1.339553
classic,132,0,-4.028216,43.530167
classic,133,1,-3.988031,-33.161747
classic,134,1,24.549452,-28.453865
classic,135,1,-53.140041,24.886890
classic,136,1,-3.299088,-8.194216
classic,137,1,-1.025121,-27.957001
classic,138,1,26.280298,-25.158335
classic,139,1,-1.783471,-30.311838
classic,140,1,-3.306302,-12.639298
classic,141,1,41.593529,-11.506712
classic,142,1,-27.264366,-6.758930
classic,143,1,-3.514991,-27.381338
classic,144,1,7.919531,-0.149285
classic,145,1,-1.925566,-30.692862
classic,146,1,-3.089698,-11.355685
classic,147,1,-2.339395,34.620705
classic,148,1,-52.753384,24.676384
classic,149,1,4.999573,0.947961
classic,150,1,-11.390793,-34.093060
classic,151,1,-50.091442,24.516655
classic,152,1,-49.766586,23.194155
classic,153,1,-25.906246,-3.013278
classic,154,1,-53.796059,24.824293
classic,155,1,25.516533,-22.010134
classic,156,1,38.971870,-11.170807
classic,157,1,-25.558178,-3.853281
classic,158,1,38.591801,-15.737871
classic,159,1,6.887280,-39.023121
classic,160,2,0.344923,-1.162052
classic,161,2,7.474806,-44.410358
classic,162,2,-2.973613,34.133060
classic,163,2,-3.523601,-30.715227
classic,164,2,-3.008460,43.137398
classic,165,2,6.419757,-43.286583
classic,166,2,-3.169688,18.187849
classic,167,2,-1.279468,35.454014
classic,168,2,-26.848890,-4.719140
classic,169,2,17.565741,15.950536
classic,170,2,-27.700062,-4.662745
classic,171,2,2.676658,-0.007979
classic,172,2,46.594273,1.890114
classic,173,2,0.023475,-26.982298
classic,174,2,24.375772,-28.175220
classic,175,2,-26.079090,-5.176922
classic,176,2,-27.699047,-5.454875
classic,177,3,9.940704,18.254335
classic,178,3,13.693050,15.819963
classic,179,3,36.915577,-17.732689
classic,180,3,-8.230498,-33.203625
classic,181,3,-2.812380,-25.863619
classic,182,3,37.170456,-17.359743
